reference,nom_csv,error
HX_HEXLRESPREMOTE1M,Télécommande fauteuil releveur Marcel,no_results
HX_HEXSTANDPARAPHARELYA,Pret Stand Parapluie courbe PHARELYA,no_results
HX_HEXEVESACGAINEPETIT,Sac Gaine petit x 300,no_results
HX_REV16672220MPHCBDDISPLAYF,Medic Pharma présentoir étagère en carton FR,no_results
HX_REV172393412836AB,Arthrose-Genou présentoir étagère en carton FR - OP FDM,no_results
HX_REV16679979MPHREVRANGETBF,Brochure Gamme Complète,no_results
HX_MIKTESTCOVIDGRIPPEVRS,Tests combo 3 : covid/grippe/vrs Sejoy,no_results
HX_MIKTESTCOVIDGRIPPE,Tests combo covid/grippe Sejoy,no_results
HX_MIKTESTANTIGENIQUE,Test antigénique Sejoy,no_results
LOCTIRELAITCONF,Location tire lait Symphony Medela,no_results
